,,○,通信会社（役員）,・８月の契約獲得数は一旦前年と同水準まで戻っているが、ここ数か月は好調な結果をキープしており、今後ともこの傾向は続くとみている。,,,
,,○,通信会社（営業担当）,・ここ数か月、全体的な来客数はおよそ２割減で、販売量も比例して減っているが、来客数が戻りつつあるため期待できる。また、新商品の発売も予定されているので販売増が見込めそうである。,,,
,,○,美容室（経営者）,・気温が平年並みに戻れば、なじみ客の来店が多くなる。,,,
,,○,住宅販売会社（従業員）,・暑い時期が過ぎればユーザーも通常の思考が可能となるため、例年の販売量が見込める。新規の住宅用地の準備も進んでいるので、土地建物共に今後の販売量は前年以上になると見込んでいる。,,,
,,○,住宅販売会社（従業員）,・来年３月までに住宅完成を目指す客が増加している。,,,
,,○,住宅販売会社（営業）,・消費税の引上げによって、少なからず駆け込み需要があるはずと見込んでいる。,,,
,,□,商店街（代表者）,・豪雪と猛暑のダブルパンチで、体力のない店舗は閉店している。商店街全体の魅力の低下につながらないか心配である。,,,
,,□,商店街（代表者）,・飲食関係はそこそこ増加しているようであるが、衣料や雑貨、一般小売方面で動きが良くなるとは考えにくい。消費税の引上げの先取りがあるのかどうか読みにくい。,,,
,,□,一般小売店［精肉］（店長）,・販売量の動きと客の様子を見て、３か月前からずっとこのままできているので、年末まではこのまま行くのではないかとみている。,,,
,,□,一般小売店［書籍］（従業員）,・底は脱したが、これといって良くなる要素が見当たらない。,,,
,,□,百貨店（売場主任）,・猛暑が続き、例年に比べて初秋物の衣料品の動きが鈍い。９月も残暑が続いた場合、10～11月の秋冬物やコートなどの実需期の動きにも影響が出る。引き続き苦戦しそうである。,,,
,,□,百貨店（販売促進担当）,・堅調な株高に伴い、一部富裕層の需要は活発化している。しかし、中間層の節約志向は根強く、個人消費の改善はみられない。,,,
,,□,百貨店（営業企画）,・猛暑の８月ではあったが、来客数はほぼ前年並みに推移している。ただし、購買客数が伸びず苦戦をしている。この状況がすぐ解消できるとは考えられない。,,,
,,□,スーパー（総務担当）,・９月前半も暑さが続くと考えられるので、来客数減少が続くとみている。,,,
,,□,スーパー（総務担当）,・猛暑や豪雨、台風などの異常気象が続くなかではあるものの、お盆が前年並みであったことから今後も景気の変動は期待できない。,,,
,,□,スーパー（統括）,・気温の変動や、相場の動向を注視している。,,,
,,□,コンビニ（経営者）,・ここ最近は、若い人よりも年配の客が増えている。来る回数は少ないが、買う量は年配の客が多い。ただし、それだけでは売上が上がっていくとは考えられないので、現状維持という状況である。,,,
,,□,衣料品専門店（経営者）,・衣料品に関しては価格に敏感で、安いものしか売れていないようである。,,,
,,□,家電量販店（本部）,・消費をけん引する好材料が見当たらない。,,,
,,□,自動車備品販売店（役員）,・新車の売行きは良いが、低価格と高額車両に大きく分かれている。装備も含めて金を費やす人と、節約のために軽車両を選択する人と極端に分かれる。必要な物には金を使う傾向だが、節約志向の客が多いとみている。,,,
,,□,住関連専門店（役員）,・需要増加の時期に入るが、この夏の暑さ対策や電気代への出費が重なったことも影響し、消費を控える傾向がみられる。,,,
,,□,その他専門店［酒］（経営者）,・自身の商売だけでなく、世間一般をみていても、良くなるという兆候は全く見当たらない。,,,
,,□,その他小売［ショッピングセンター］（統括）,・衣料品としてのトレンドは前年を超えない状態が続いているが、一時期と比較するとやや改善している。飲食や食物販、アミューズメントは好調を維持しており、全体としては引き続き前年並みに推移するとみている。,,,
,,□,高級レストラン（スタッフ）,・秋の旅行シーズンに備えて旅行代理店との契約やプランを増設しているが、現在のところ例年並みの受注である。,,,
,,□,一般レストラン（店長）,・お盆頃まではかなり順調に推移していたが、月末以降は予約数が例年程度になると考える。,,,
