,,□,観光型旅館（経理）,・能登半島地震の発生以降休業状態で、再開までにまだかなりの期間を要する。,,,
,,□,旅行代理店（従業員）,・旅行費用の上昇が収まらず、今後も不安である。,,,
,,□,タクシー運転手,・節約志向はあるが、観光客を含め、夏場に向けて好調が続くとみている。,,,
,,□,タクシー運転手,・観光客数を伸ばすためには県の努力が必要である。それが公共交通需要に直結すると考える。,,,
,,□,通信会社（営業担当）,・今は大きな変化の起爆剤がない状況である。販売数は前年と同様の推移になっている。,,,
,,□,通信会社（役員）,・契約数は前年と同レベルで好調に獲得できると考えている。ただし、解約対策については課題が残る。,,,
,,□,住宅販売会社（従業員）,・また少し材料価格が上昇していることから住宅価格も影響を受け、契約件数は伸びないとみている。しかし、１軒１軒の住宅性能を高めたり、より良い住宅設備の提案を行って販売したりすることで、契約件数は変わらなくても売上は伸びる状況にあると考える。,,,
,,□,住宅販売会社（従業員）,・良い月と落ち込む月があり受注が安定していないため、楽観はしていない。客の絶対数が少ないことが原因とみている。,,,
,,□,住宅販売会社（従業員）,・物価高騰や関税問題の影響を受け、客の動きに変化がみられない。,,,
,,▲,百貨店（販売促進担当）,・賃金上昇の気運が明らかに打ち消されている様子がうかがえる。,,,
,,▲,百貨店（販売担当）,・米など食料品の高騰により、生活必需品の売上がやや低迷し始めている。生活必需品以外の衣料品や装身具などの雑貨は優先度が低く、高付加価値商品の低迷が当面続くとみている。物価高騰が落ち着くまでは我慢の営業が必要である。客が買いやすい価格帯の商品やセール対応品の拡充が必要と考える。外商客などの富裕層にも節約傾向があり、資産価値のある商品や話題性のある商品には動きはあるが、購買には慎重になってきている。,,,
,,▲,乗用車販売店（従業員）,・物価高が続いている影響で、買い控えの傾向にある。,,,
,,▲,乗用車販売店（役員）,・米国による関税政策の行方が不透明で見通しを立てることは困難だが、徐々に影響が出てくるとみている。,,,
,,▲,都市型ホテル（スタッフ）,・予約の状況から見て勢いがない。,,,
,,▲,都市型ホテル（役員）,・引き続きインバウンド需要は期待できるものの、国内宿泊客の客室単価は横ばいに転じており、稼働状況に合わせた価格のコントロールが重要である。,,,
,,▲,通信会社（職員）,・米価格の高騰や米国関税の影響への見通しが立たず、閉塞感がある。,,,
,,▲,通信会社（役員）,・物価上昇に対する懸念が高まっている。,,,
,,▲,テーマパーク（役員）,・３か月先までの団体の予約状況をみると、前年との比較でやや悪化している。,,,
,,▲,パチンコ店（経理）,・諸物価高騰でパチンコに回す経済的な余裕はないとみられる。,,,
,,▲,住宅販売会社（営業）,・賃上げと原材料価格高騰への対処に加え、４月の改正建築基準法・改正建築物省エネ法の全面施行による行政の混乱に伴う業務負担の増大で周辺はかなり疲弊しており、結果として景気の押し下げにつながるとみている。,,,
,,×,コンビニ（店長）,・景気が良くなる要因が見当たらない。全国のコンビニチェーン店では自動レジ導入による無人化、省人化の計画が進んでおり、１～２年後には夜間や来客の少ない時間帯の無人化が実施できる見込みである。深夜時間帯勤務の従業員が削減されることになるが、最低賃金などの人件費が高いため、深夜時間帯勤務者をそのまま雇用することはできず、結果として雇用の機会が失われることから良い流れとはいえない。,,,
"企業
動向
関連

(北陸)",,◎,建設業（経営者）,・これから公共工事の発注が旺盛になってくる。,,,
,,○,金属製品製造業（経営者）,・２～３か月先の分の受注状況をみて、景気はやや良くなると考える。,,,
